task	depth_bin	size_bin	n_proteins	n_sites	pos_rate	depth_median	size_median	d_pct	d_pct_pos	d_pct_neg	d_auroc	d_auprc	thin
methylation_r	1	3	23	416	0.1731	3.0000	17.0000	-0.0028	0.0089	-0.0052	0.0256	0.0622	False
methylation_r	1	4	20	709	0.0973	3.0000	28.5000	-0.0562	-0.0075	-0.0615	0.0451	0.0628	False
methylation_r	2	0	6	38	0.7632	4.0000	5.5000	0.1460	0.1258	0.2113	0.0690	0.0212	True
methylation_r	2	1	16	139	0.5755	5.0000	8.5000	0.0927	0.0710	0.1222	-0.0097	0.0014	True
methylation_r	2	2	19	244	0.4303	5.0000	13.0000	0.0723	0.0532	0.0868	0.0328	0.0374	False
methylation_r	2	3	57	1074	0.3845	6.0000	17.0000	0.0478	0.0315	0.0579	0.0143	0.0187	False
methylation_r	2	4	72	3222	0.2281	6.5000	32.0000	-0.0427	-0.0097	-0.0525	0.0113	0.0389	False
sumoylation_k	0	0	255	2799	0.1386	1.0000	10.0000	0.1040	0.0715	0.1092	0.0060	-0.0025	False
sumoylation_k	0	1	152	3206	0.0730	1.0000	19.0000	0.0392	0.0004	0.0422	-0.0150	-0.0655	False
sumoylation_k	0	2	125	4002	0.0477	1.0000	29.0000	-0.0040	-0.0366	-0.0024	-0.0247	-0.0326	False
sumoylation_k	0	3	98	4650	0.0292	1.0000	45.0000	-0.0439	-0.0497	-0.0437	-0.0087	-0.0419	False
sumoylation_k	0	4	102	9816	0.0147	1.0000	76.0000	-0.1713	-0.1477	-0.1717	0.0027	-0.0088	False
sumoylation_k	1	0	73	852	0.3122	3.0000	11.0000	0.1231	0.0815	0.1419	-0.0261	-0.0455	False
sumoylation_k	1	1	75	1545	0.1806	3.0000	19.0000	0.0682	0.0160	0.0797	-0.0366	-0.0551	False
sumoylation_k	1	2	58	1792	0.1267	3.5000	27.0000	0.0642	0.0484	0.0665	0.0087	-0.0182	False
sumoylation_k	1	3	59	2798	0.0779	3.0000	43.0000	-0.0014	-0.0254	0.0006	-0.0209	-0.0855	False
sumoylation_k	1	4	51	5114	0.0364	3.0000	78.0000	-0.1135	-0.1062	-0.1137	0.0035	0.0408	False
sumoylation_k	2	0	45	600	0.4933	6.0000	13.0000	0.1226	0.0962	0.1484	-0.0227	-0.0213	False
sumoylation_k	2	1	96	2027	0.3483	7.0000	20.0000	0.0867	0.0605	0.1007	-0.0066	0.0043	False
sumoylation_k	2	2	87	2808	0.2539	7.0000	28.0000	0.0972	0.0525	0.1124	-0.0201	-0.0305	False
sumoylation_k	2	3	78	3436	0.1676	7.0000	42.0000	0.0483	0.0168	0.0547	-0.0181	-0.0455	False
sumoylation_k	2	4	65	6055	0.0791	7.0000	79.0000	-0.0136	-0.0223	-0.0129	0.0055	-0.0123	False
sumoylation_k	3	0	2	29	0.8276	12.0000	14.5000	0.1406	0.1560	0.0664	0.0417	-0.0322	True
sumoylation_k	3	1	24	507	0.6805	14.0000	21.0000	0.1768	0.1581	0.2166	-0.0066	0.0065	False
sumoylation_k	3	2	62	1950	0.5472	15.0000	30.0000	0.1354	0.1245	0.1485	0.0014	0.0002	False
sumoylation_k	3	3	98	4561	0.4242	18.0000	44.5000	0.0936	0.0823	0.1019	0.0031	-0.0004	False
sumoylation_k	3	4	127	12039	0.2661	19.0000	74.0000	0.0294	0.0356	0.0272	0.0241	0.0503	False
ubiquitination_k	0	0	294	2629	0.1731	1.0000	8.0000	0.0830	0.0578	0.0883	-0.0023	-0.0563	False
ubiquitination_k	0	1	190	3813	0.0797	1.0000	18.0000	0.0342	-0.0014	0.0373	-0.0111	-0.0505	False
ubiquitination_k	0	2	127	4054	0.0474	1.0000	29.0000	-0.0170	-0.0532	-0.0152	-0.0216	-0.0283	False
ubiquitination_k	0	3	128	6621	0.0287	1.0000	47.0000	-0.0598	-0.1075	-0.0584	-0.0288	-0.0292	False
ubiquitination_k	0	4	124	11868	0.0162	1.0000	76.0000	-0.1200	-0.1464	-0.1196	-0.0013	-0.0101	False
ubiquitination_k	1	0	188	1911	0.3616	3.0000	10.0000	0.1126	0.0866	0.1274	-0.0077	-0.0081	False
ubiquitination_k	1	1	141	2701	0.1951	3.0000	17.0000	0.0538	0.0213	0.0617	-0.0103	-0.0228	False
ubiquitination_k	1	2	94	2955	0.1188	3.0000	29.0000	0.0247	-0.0112	0.0295	-0.0241	-0.0616	False
ubiquitination_k	1	3	71	3617	0.0727	3.0000	47.0000	-0.0231	-0.0606	-0.0201	-0.0265	-0.0508	False
ubiquitination_k	1	4	54	5402	0.0354	3.0000	76.0000	-0.1151	-0.1114	-0.1153	0.0227	0.0181	False
ubiquitination_k	2	0	122	1423	0.5636	6.0000	11.0000	0.1315	0.1126	0.1560	-0.0110	-0.0094	False
ubiquitination_k	2	1	154	3059	0.3230	6.0000	18.0000	0.0618	0.0407	0.0719	-0.0027	-0.0015	False
ubiquitination_k	2	2	123	4102	0.2040	6.0000	29.0000	0.0314	-0.0022	0.0400	-0.0312	-0.0815	False
ubiquitination_k	2	3	85	4358	0.1280	6.0000	47.0000	-0.0063	-0.0318	-0.0025	-0.0079	-0.0361	False
ubiquitination_k	2	4	75	7878	0.0607	6.0000	89.0000	-0.1002	-0.1278	-0.0984	-0.0074	-0.0166	False
ubiquitination_k	3	0	35	453	0.7903	9.0000	12.0000	0.1652	0.1562	0.1990	0.0133	0.0026	False
ubiquitination_k	3	1	171	3652	0.5268	10.0000	19.0000	0.1117	0.0958	0.1293	-0.0031	-0.0079	False
ubiquitination_k	3	2	172	5474	0.3539	10.0000	29.0000	0.0711	0.0476	0.0839	-0.0166	-0.0126	False
ubiquitination_k	3	3	122	5771	0.2388	11.0000	44.0000	0.0265	0.0038	0.0336	-0.0155	-0.0169	False
ubiquitination_k	3	4	100	9652	0.1180	11.0000	81.5000	-0.0419	-0.0719	-0.0379	-0.0256	-0.0619	False
ubiquitination_k	4	1	31	705	0.7518	16.0000	22.0000	0.1295	0.1079	0.1951	-0.0431	-0.0170	False
ubiquitination_k	4	2	111	3863	0.6055	18.0000	30.0000	0.1329	0.1157	0.1592	-0.0198	-0.0202	False
