task	split	alpha	mode	target_inflation	actual_inflation	inflation_reached	max_inflation	n_sites	n_proteins	exp_flipped	d_auroc	d_auprc	d_auroc_lo	d_auroc_hi	d_auprc_lo	d_auprc_hi	f_shallow	f_deep	f_ref	ref_bin	f_monotone
ubiquitination_k	2	0.5	alpha			True	1.7201	45828	1162	2612.8849018517285	-0.0010518967215627146	-0.015014913102077396	-0.003432065903961498	0.0008437707275101014	-0.018466919934839753	-0.011856845866394565	0.04785736628088833	0.4030843443940944	0.4030843443940944	5	True
ubiquitination_k	2	0.75	alpha			True	1.7201	45828	1162	1109.6459529784445	-0.005944891954762264	-0.022076781713701584	-0.007479529329873694	-0.004352384063413405	-0.024489675777581415	-0.01955796231405014	0.04785736628088833	0.4030843443940944	0.4030843443940944	5	True
ubiquitination_k	2	1.0	alpha			True	1.7201	45828	1162	0.0	-0.00969804023887011	-0.027332874591228188	-0.00969804023887011	-0.00969804023887011	-0.027332874591228185	-0.027332874591228185	0.04785736628088833	0.4030843443940944	0.4030843443940944	5	True
ubiquitination_k	2	0.7570098793055104	inflation	1.1	1.1	True	1.7201	45828	1162	1073.900000000001	-0.006189081076333503	-0.022309561951464708	-0.0076710551723997485	-0.004506582025633388	-0.024566032547528226	-0.01970207544553676	0.04785736628088833	0.4030843443940944	0.4030843443940944	5	True
ubiquitination_k	2	0.48985579705060944	inflation	1.25	1.25	True	1.7201	45828	1162	2684.75	-0.0006856965986854451	-0.014436385247757366	-0.003200109841907245	0.0016333566399006636	-0.018282644437235297	-0.010973223057627811	0.04785736628088833	0.4030843443940944	0.4030843443940944	5	True
ubiquitination_k	2	0.1870280873968364	inflation	1.5	1.5	True	1.7201	45828	1162	5369.5	0.007548367525550703	-0.0025880480425854563	0.0052252264542746365	0.010093570137068282	-0.007015270690024758	0.001885454003967177	0.04785736628088833	0.4030843443940944	0.4030843443940944	5	True
sumoylation_k	0	0.0	alpha			True	1.9766	21890	629	3654.4595503186083	-0.014657237292238294	-0.04192857108392741	-0.02078761104539162	-0.009277294441122129	-0.047869981927491236	-0.035546290394586906	0.038514153425234135	0.3147128245476003	0.3147128245476003	4	True
sumoylation_k	0	0.25	alpha			True	1.9766	21890	629	2133.587097807687	-0.03448621379789274	-0.06785106191697392	-0.03974874265652528	-0.02972226250340801	-0.07498799126501224	-0.06154804824882246	0.038514153425234135	0.3147128245476003	0.3147128245476003	4	True
sumoylation_k	0	0.5	alpha			True	1.9766	21890	629	1133.767826862221	-0.051374467791948694	-0.08854697351994335	-0.055727164551463884	-0.047273031522072885	-0.09385254707330498	-0.08321683187207872	0.038514153425234135	0.3147128245476003	0.3147128245476003	4	True
sumoylation_k	0	0.75	alpha			True	1.9766	21890	629	462.0481277305908	-0.06492457729204291	-0.10487863594498822	-0.06796209601082516	-0.061629195433601264	-0.10755673163734375	-0.10147379213239072	0.038514153425234135	0.3147128245476003	0.3147128245476003	4	True
sumoylation_k	0	1.0	alpha			True	1.9766	21890	629	0.0	-0.07605729634137137	-0.1177653920644693	-0.07605729634137137	-0.07605729634137137	-0.11776539206446934	-0.11776539206446934	0.038514153425234135	0.3147128245476003	0.3147128245476003	4	True
sumoylation_k	0	0.7910404152600858	inflation	1.1	1.1	True	1.9766	21890	629	374.20000000000033	-0.06687006384300345	-0.10698430924029005	-0.06987415901158876	-0.06379307758853016	-0.11039820123799914	-0.10381687988519046	0.038514153425234135	0.3147128245476003	0.3147128245476003	4	True
sumoylation_k	0	0.5642708407343147	inflation	1.25	1.25	True	1.9766	21890	629	935.4999999999999	-0.05482236731198118	-0.09258218920271873	-0.05898879006949627	-0.050099908225660995	-0.09709464638564061	-0.08735193105554663	0.038514153425234135	0.3147128245476003	0.3147128245476003	4	True
sumoylation_k	0	0.30638362283055354	inflation	1.5	1.5	True	1.9766	21890	629	1871.0000000000007	-0.03894594893837797	-0.07318025172144797	-0.04472458413208206	-0.03334518265595254	-0.07992395597211091	-0.06633819839637671	0.038514153425234135	0.3147128245476003	0.3147128245476003	4	True
sumoylation_k	1	0.0	alpha			True	2.0171	26404	649	4307.571716583639	-0.011678290175998876	-0.04825188795512272	-0.016168629085492037	-0.006915108501104855	-0.05423709965630938	-0.0423277432145455	0.032591129466690606	0.3008480467120812	0.3008480467120812	4	True
sumoylation_k	1	0.25	alpha			True	2.0171	26404	649	2488.8103619039084	-0.029226045738064102	-0.07345820698051699	-0.03391236023891505	-0.0248567119073895	-0.07919417330060494	-0.06757893085152766	0.032591129466690606	0.3008480467120812	0.3008480467120812	4	True
sumoylation_k	1	0.5	alpha			True	2.0171	26404	649	1312.981650606096	-0.04436467451185926	-0.09381069480306957	-0.048264802335917935	-0.04020337838303886	-0.09888059914417383	-0.088705009161593	0.032591129466690606	0.3008480467120812	0.3008480467120812	4	True
