task	train	eval	split	family	icc_base	icc	icc_fold	msw_base	msw	msw_ratio	n_proteins	n_sites
phosphorylation_st	replica	replica	0	prott5_perm	0.1099	0.1702	1.5494	0.0852	0.0770	1.1063	836	76333
phosphorylation_st	replica	rebuilt	1	esm2_perm	0.1496	0.1671	1.1165	0.0720	0.0791	0.9105	1249	104529
phosphorylation_st	replica	replica	1	esm2_perm	0.1405	0.1566	1.1143	0.0770	0.0837	0.9196	753	69206
phosphorylation_st	replica	rebuilt	1	interaction_perm	0.1496	0.2398	1.6024	0.0720	0.0734	0.9802	1249	104529
phosphorylation_st	replica	replica	1	interaction_perm	0.1405	0.2197	1.5639	0.0770	0.0778	0.9899	753	69206
phosphorylation_st	replica	rebuilt	1	prott5_perm	0.1496	0.1951	1.3042	0.0720	0.0738	0.9751	1249	104529
phosphorylation_st	replica	replica	1	prott5_perm	0.1405	0.1824	1.2984	0.0770	0.0784	0.9813	753	69206
phosphorylation_st	replica	rebuilt	2	esm2_perm	0.1148	0.1729	1.5055	0.0757	0.0781	0.9694	1327	108633
phosphorylation_st	replica	replica	2	esm2_perm	0.1227	0.1674	1.3647	0.0786	0.0806	0.9746	799	74595
phosphorylation_st	replica	rebuilt	2	interaction_perm	0.1148	0.1779	1.5491	0.0757	0.0736	1.0277	1327	108633
phosphorylation_st	replica	replica	2	interaction_perm	0.1227	0.1807	1.4733	0.0786	0.0758	1.0363	799	74595
phosphorylation_st	replica	rebuilt	2	prott5_perm	0.1148	0.1784	1.5533	0.0757	0.0795	0.9520	1327	108633
phosphorylation_st	replica	replica	2	prott5_perm	0.1227	0.1767	1.4404	0.0786	0.0827	0.9507	799	74595
phosphorylation_y	rebuilt	rebuilt	0	esm2	0.0996	0.3026	3.0372	0.0734	0.0578	1.2699	435	6821
phosphorylation_y	rebuilt	replica	0	esm2	0.1221	0.3174	2.5993	0.0711	0.0555	1.2792	483	6698
phosphorylation_y	rebuilt	rebuilt	0	interaction	0.0996	0.2108	2.1160	0.0734	0.0594	1.2369	435	6821
phosphorylation_y	rebuilt	replica	0	interaction	0.1221	0.2286	1.8716	0.0711	0.0577	1.2319	483	6698
phosphorylation_y	rebuilt	rebuilt	0	prott5	0.0996	0.2897	2.9076	0.0734	0.0618	1.1883	435	6821
phosphorylation_y	rebuilt	replica	0	prott5	0.1221	0.3057	2.5035	0.0711	0.0590	1.2035	483	6698
phosphorylation_y	rebuilt	rebuilt	1	esm2	0.1413	0.3337	2.3614	0.0610	0.0474	1.2874	410	6683
phosphorylation_y	rebuilt	replica	1	esm2	0.1206	0.3229	2.6772	0.0635	0.0481	1.3195	429	6219
phosphorylation_y	rebuilt	rebuilt	1	interaction	0.1413	0.2252	1.5935	0.0610	0.0697	0.8760	410	6683
phosphorylation_y	rebuilt	replica	1	interaction	0.1206	0.2181	1.8078	0.0635	0.0716	0.8870	429	6219
phosphorylation_y	rebuilt	rebuilt	1	prott5	0.1413	0.3010	2.1301	0.0610	0.0605	1.0084	410	6683
phosphorylation_y	rebuilt	replica	1	prott5	0.1206	0.2825	2.3417	0.0635	0.0621	1.0228	429	6219
phosphorylation_y	rebuilt	rebuilt	2	esm2	0.1319	0.2742	2.0785	0.0615	0.0692	0.8894	431	6911
phosphorylation_y	rebuilt	replica	2	esm2	0.1557	0.3008	1.9316	0.0603	0.0650	0.9275	447	6604
