task	train	eval	split	family	auroc	auprc	n_sites	pos_rate	auroc_base	auprc_base	n_sites_base	pos_rate_base	d_auroc	d_auprc
glycosylation_n	rebuilt	replica	0	esm2_perm	0.9677	0.9732	1282	0.6310	0.9650	0.9687	1282	0.6310	0.0027	0.0045
glycosylation_n	rebuilt	rebuilt	0	interaction_perm	0.9641	0.7702	4897	0.1652	0.9681	0.8048	4897	0.1652	-0.0040	-0.0346
glycosylation_n	rebuilt	replica	0	interaction_perm	0.9735	0.9798	1282	0.6310	0.9650	0.9687	1282	0.6310	0.0085	0.0111
glycosylation_n	rebuilt	rebuilt	0	prott5_perm	0.9664	0.7920	4897	0.1652	0.9681	0.8048	4897	0.1652	-0.0017	-0.0128
glycosylation_n	rebuilt	replica	0	prott5_perm	0.9649	0.9702	1282	0.6310	0.9650	0.9687	1282	0.6310	-0.0001	0.0015
glycosylation_n	rebuilt	rebuilt	1	esm2_perm	0.9688	0.8088	5056	0.1746	0.9711	0.8269	5056	0.1746	-0.0023	-0.0181
glycosylation_n	rebuilt	replica	1	esm2_perm	0.9743	0.9285	2532	0.3487	0.9757	0.9305	2532	0.3487	-0.0014	-0.0021
glycosylation_n	rebuilt	rebuilt	1	interaction_perm	0.9669	0.7877	5056	0.1746	0.9711	0.8269	5056	0.1746	-0.0043	-0.0392
glycosylation_n	rebuilt	replica	1	interaction_perm	0.9753	0.9361	2532	0.3487	0.9757	0.9305	2532	0.3487	-0.0004	0.0055
glycosylation_n	rebuilt	rebuilt	1	prott5_perm	0.9681	0.7988	5056	0.1746	0.9711	0.8269	5056	0.1746	-0.0031	-0.0281
glycosylation_n	rebuilt	replica	1	prott5_perm	0.9755	0.9344	2532	0.3487	0.9757	0.9305	2532	0.3487	-0.0002	0.0039
glycosylation_n	rebuilt	rebuilt	2	esm2_perm	0.9707	0.8038	4247	0.1665	0.9717	0.8083	4247	0.1665	-0.0010	-0.0045
glycosylation_n	rebuilt	replica	2	esm2_perm	0.9783	0.9431	2003	0.3530	0.9792	0.9494	2003	0.3530	-0.0009	-0.0062
glycosylation_n	rebuilt	rebuilt	2	interaction_perm	0.9714	0.8060	4247	0.1665	0.9717	0.8083	4247	0.1665	-0.0003	-0.0023
glycosylation_n	rebuilt	replica	2	interaction_perm	0.9777	0.9465	2003	0.3530	0.9792	0.9494	2003	0.3530	-0.0015	-0.0029
glycosylation_n	rebuilt	rebuilt	2	prott5_perm	0.9708	0.7965	4247	0.1665	0.9717	0.8083	4247	0.1665	-0.0009	-0.0118
glycosylation_n	rebuilt	replica	2	prott5_perm	0.9795	0.9485	2003	0.3530	0.9792	0.9494	2003	0.3530	0.0003	-0.0009
glycosylation_n	replica	rebuilt	0	esm2	0.9299	0.6582	4897	0.1652	0.9601	0.7327	4897	0.1652	-0.0302	-0.0744
glycosylation_n	replica	replica	0	esm2	0.9812	0.9883	1282	0.6310	0.9628	0.9695	1282	0.6310	0.0184	0.0188
glycosylation_n	replica	rebuilt	0	interaction	0.9324	0.6591	4897	0.1652	0.9601	0.7327	4897	0.1652	-0.0277	-0.0735
glycosylation_n	replica	replica	0	interaction	0.9329	0.9500	1282	0.6310	0.9628	0.9695	1282	0.6310	-0.0299	-0.0195
glycosylation_n	replica	rebuilt	0	prott5	0.9181	0.6612	4897	0.1652	0.9601	0.7327	4897	0.1652	-0.0420	-0.0714
glycosylation_n	replica	replica	0	prott5	0.9757	0.9852	1282	0.6310	0.9628	0.9695	1282	0.6310	0.0129	0.0157
glycosylation_n	replica	rebuilt	1	esm2	0.8669	0.5214	5056	0.1746	0.9616	0.7615	5056	0.1746	-0.0947	-0.2401
glycosylation_n	replica	replica	1	esm2	0.9843	0.9708	2532	0.3487	0.9736	0.9282	2532	0.3487	0.0107	0.0426
glycosylation_n	replica	rebuilt	1	interaction	0.9294	0.6292	5056	0.1746	0.9616	0.7615	5056	0.1746	-0.0322	-0.1323
glycosylation_n	replica	replica	1	interaction	0.9490	0.8663	2532	0.3487	0.9736	0.9282	2532	0.3487	-0.0246	-0.0619
glycosylation_n	replica	rebuilt	1	prott5	0.8656	0.5546	5056	0.1746	0.9616	0.7615	5056	0.1746	-0.0960	-0.2069
glycosylation_n	replica	replica	1	prott5	0.9810	0.9638	2532	0.3487	0.9736	0.9282	2532	0.3487	0.0074	0.0356
glycosylation_n	replica	rebuilt	2	esm2	0.8880	0.6078	4247	0.1665	0.9629	0.7482	4247	0.1665	-0.0749	-0.1404
glycosylation_n	replica	replica	2	esm2	0.9877	0.9770	2003	0.3530	0.9745	0.9309	2003	0.3530	0.0132	0.0461
glycosylation_n	replica	rebuilt	2	interaction	0.9211	0.5978	4247	0.1665	0.9629	0.7482	4247	0.1665	-0.0418	-0.1505
glycosylation_n	replica	replica	2	interaction	0.9734	0.9408	2003	0.3530	0.9745	0.9309	2003	0.3530	-0.0011	0.0099
glycosylation_n	replica	rebuilt	2	prott5	0.9116	0.6445	4247	0.1665	0.9629	0.7482	4247	0.1665	-0.0513	-0.1037
glycosylation_n	replica	replica	2	prott5	0.9884	0.9780	2003	0.3530	0.9745	0.9309	2003	0.3530	0.0139	0.0471
glycosylation_n	replica	rebuilt	0	esm2_perm	0.9391	0.6332	4897	0.1652	0.9601	0.7327	4897	0.1652	-0.0209	-0.0994
glycosylation_n	replica	replica	0	esm2_perm	0.9473	0.9602	1282	0.6310	0.9628	0.9695	1282	0.6310	-0.0156	-0.0093
glycosylation_n	replica	rebuilt	0	interaction_perm	0.9265	0.6190	4897	0.1652	0.9601	0.7327	4897	0.1652	-0.0336	-0.1137
glycosylation_n	replica	replica	0	interaction_perm	0.9458	0.9626	1282	0.6310	0.9628	0.9695	1282	0.6310	-0.0170	-0.0069
glycosylation_n	replica	rebuilt	0	prott5_perm	0.9401	0.6579	4897	0.1652	0.9601	0.7327	4897	0.1652	-0.0199	-0.0747
glycosylation_n	replica	replica	0	prott5_perm	0.9508	0.9605	1282	0.6310	0.9628	0.9695	1282	0.6310	-0.0121	-0.0090
glycosylation_n	replica	rebuilt	1	esm2_perm	0.9186	0.6172	5056	0.1746	0.9616	0.7615	5056	0.1746	-0.0430	-0.1442
glycosylation_n	replica	replica	1	esm2_perm	0.9325	0.8370	2532	0.3487	0.9736	0.9282	2532	0.3487	-0.0411	-0.0912
glycosylation_n	replica	rebuilt	1	interaction_perm	0.9150	0.6115	5056	0.1746	0.9616	0.7615	5056	0.1746	-0.0466	-0.1499
glycosylation_n	replica	replica	1	interaction_perm	0.8987	0.7512	2532	0.3487	0.9736	0.9282	2532	0.3487	-0.0749	-0.1770
glycosylation_n	replica	rebuilt	1	prott5_perm	0.9351	0.6530	5056	0.1746	0.9616	0.7615	5056	0.1746	-0.0265	-0.1085
glycosylation_n	replica	replica	1	prott5_perm	0.9493	0.8790	2532	0.3487	0.9736	0.9282	2532	0.3487	-0.0243	-0.0491
