task	train	eval	family	d_auroc	auroc_lo	auroc_hi	d_auprc	auprc_lo	auprc_hi	n_boot	n_sites	n_proteins
acetylation_k	rebuilt	replica	interaction_perm	-0.0252	-0.0384	-0.0119	-0.0360	-0.0610	-0.0090	2000	24797	2017
methylation_k	rebuilt	replica	interaction_perm	-0.0181	-0.0355	-0.0002	-0.0082	-0.0305	0.0147	2000	13926	1712
methylation_r	rebuilt	replica	interaction_perm	0.0168	0.0010	0.0318	0.0310	0.0068	0.0523	2000	7194	1147
sumoylation_k	rebuilt	replica	interaction_perm	-0.0152	-0.0278	-0.0025	-0.0149	-0.0326	0.0030	2000	28835	1882
ubiquitination_k	rebuilt	replica	interaction_perm	-0.0344	-0.0429	-0.0260	-0.0573	-0.0716	-0.0419	2000	72560	3478
glycosylation_n	rebuilt	replica	interaction_perm	-0.0008	-0.0043	0.0027	0.0012	-0.0111	0.0127	2000	5817	884
phosphorylation_st	rebuilt	rebuilt	interaction_perm	-0.0161	-0.0192	-0.0132	-0.0382	-0.0466	-0.0302	2000	322236	3921
phosphorylation_y	rebuilt	rebuilt	interaction_perm	-0.0141	-0.0192	-0.0093	-0.0359	-0.0494	-0.0233	2000	20964	1462
acetylation_k	rebuilt	rebuilt	interaction_perm	-0.0242	-0.0320	-0.0167	-0.0557	-0.0765	-0.0350	2000	59380	2017
methylation_k	rebuilt	rebuilt	interaction_perm	-0.0141	-0.0188	-0.0090	-0.0281	-0.0390	-0.0177	2000	28565	1712
methylation_r	rebuilt	rebuilt	interaction_perm	-0.0042	-0.0102	0.0018	-0.0185	-0.0334	-0.0018	2000	17474	1145
sumoylation_k	rebuilt	rebuilt	interaction_perm	-0.0243	-0.0345	-0.0144	-0.0504	-0.0669	-0.0319	2000	70586	1882
ubiquitination_k	rebuilt	rebuilt	interaction_perm	-0.0360	-0.0425	-0.0297	-0.0608	-0.0737	-0.0482	2000	138192	3478
glycosylation_n	rebuilt	rebuilt	interaction_perm	-0.0028	-0.0046	-0.0010	-0.0257	-0.0419	-0.0081	2000	14200	884
phosphorylation_st	replica	replica	esm2_perm	-0.0150	-0.0188	-0.0114	-0.0309	-0.0390	-0.0233	2000	223525	3921
phosphorylation_y	replica	replica	esm2_perm	-0.0094	-0.0154	-0.0032	-0.0193	-0.0344	-0.0042	2000	20913	2085
acetylation_k	replica	replica	esm2_perm	-0.0682	-0.0952	-0.0413	-0.0981	-0.1316	-0.0617	2000	24797	2017
methylation_k	replica	replica	esm2_perm	-0.1651	-0.2451	-0.0951	-0.2110	-0.2758	-0.1081	2000	13926	1712
methylation_r	replica	replica	esm2_perm	-0.1563	-0.2472	-0.0784	-0.2133	-0.2881	-0.1191	2000	7194	1147
sumoylation_k	replica	replica	esm2_perm	-0.0592	-0.0764	-0.0402	-0.0999	-0.1275	-0.0690	2000	28835	1882
ubiquitination_k	replica	replica	esm2_perm	-0.0358	-0.0452	-0.0268	-0.0603	-0.0783	-0.0420	2000	72560	3478
glycosylation_n	replica	replica	esm2_perm	-0.0303	-0.0436	-0.0155	-0.0584	-0.0937	-0.0216	2000	5817	884
