threshold	r2_target	seed	r2_measured	homog_train	homog_test_threshold	homog_test_natural	auroc_base_threshold	auprc_base_threshold	auroc_base_natural	auprc_base_natural	auroc_real_threshold	auprc_real_threshold	auroc_real_natural	auprc_real_natural	auroc_perm_threshold	auprc_perm_threshold	auroc_perm_natural	auprc_perm_natural	d_real_threshold	d_perm_threshold	real_beats_perm_threshold	d_real_natural	d_perm_natural	real_beats_perm_natural	rho_score_depth_base	rho_score_depth_real	rho_delta	rho_truth
1	0.2	1	0.09553094981760868	0.012073697851686696	0.0	0.0	0.7479369809675356	0.5112269822661901	0.7454250402251426	0.4936140174376217	0.7627907035998658	0.5338329818473873	0.7628453788041284	0.5206265630710827	0.7277921625737851	0.48245390348745865	0.7255693878544783	0.46505008467478987	0.014853722632330202	-0.020144818393750485	1	0.01742033857898584	-0.019855652370664223	1	0.1669090830536738	0.34033451643087576	0.17342543337720195	0.8476855851546733
1	0.2	2	0.09677982414474784	0.0	0.038803556992724336	0.03769317753486619	0.7698559960521891	0.5632256345449552	0.7681183637825122	0.5503726055566622	0.7786491005843137	0.5790448513543813	0.7792885177479931	0.5708081523470068	0.7498366394154558	0.5297727223355984	0.7480240351585121	0.5173542362788098	0.008793104532124563	-0.020019356636733376	1	0.011170153965480933	-0.02009432862400007	1	0.1700307645388942	0.32010845476228794	0.15007769022339373	0.8212074113156744
1	0.4	0	0.21059693961353598	0.017214525780801706	0.0	0.0	0.6984469399161057	0.4253150830907667	0.6965903130524816	0.40557524207202833	0.7330885631638522	0.4701748798449603	0.7381068203147246	0.46026082065835383	0.6786599005562688	0.3956548285059407	0.6771441935751366	0.376818304303295	0.034641623247746445	-0.019787039359836944	1	0.041516507262242985	-0.019446119477345092	1	0.1354057912661263	0.4398922584633071	0.30448646719718075	0.8592036275199881
1	0.4	1	0.1964098711614134	0.012073697851686696	0.0	0.0	0.7479369809675356	0.5112269822661901	0.7454250402251426	0.4936140174376217	0.7853020286495064	0.5701137573910192	0.7876906539431623	0.5609263146221659	0.7374543309037042	0.4925203478206185	0.7350953784249297	0.47474694339547563	0.0373650476819708	-0.010482650063831422	1	0.042265613718019734	-0.010329661800212886	1	0.1669090830536738	0.47921334989004316	0.31230426683636936	0.8476855851546733
1	0.4	2	0.19614986650664634	0.0	0.038803556992724336	0.03769317753486619	0.7698559960521891	0.5632256345449552	0.7681183637825122	0.5503726055566622	0.7903634752051698	0.5988326789082262	0.79219570654901	0.5927609126354019	0.7549597937247827	0.5413260018160481	0.7534402568266003	0.5294429874491926	0.02050747915298068	-0.014896202327406405	1	0.024077342766497756	-0.014678106955911874	1	0.1700307645388942	0.43110067335477364	0.26106990881587944	0.8212074113156744
1	0.6	0	0.3217376111428353	0.017214525780801706	0.0	0.0	0.6984469399161057	0.4253150830907667	0.6965903130524816	0.40557524207202833	0.7564594933476632	0.5079730574970517	0.7648104577804323	0.5023556209906391	0.6900152120347585	0.41121999169016865	0.6881417777383794	0.3909679752289956	0.05801255343155742	-0.008431727881347273	1	0.06822014472795068	-0.008448535314102279	1	0.1354057912661263	0.5716713442378347	0.43626555297170844	0.8592036275199881
1	0.6	1	0.29791711267670273	0.012073697851686696	0.0	0.0	0.7479369809675356	0.5112269822661901	0.7454250402251426	0.4936140174376217	0.8016116233582943	0.5984374397069101	0.8060954291068048	0.5929268900839637	0.7232553297413993	0.47300337715427754	0.7212227031159835	0.4563261651763555	0.0536746423907587	-0.024681651226136303	1	0.06067038888166221	-0.02420233710915909	1	0.1669090830536738	0.5843012035033383	0.41739212044966445	0.8476855851546733
1	0.6	2	0.29521112251806314	0.0	0.038803556992724336	0.03769317753486619	0.7698559960521891	0.5632256345449552	0.7681183637825122	0.5503726055566622	0.8094476260224444	0.6281233493863165	0.8126788904353093	0.624635425082638	0.7568735600391009	0.5436802456012011	0.7556931980457112	0.5322246330621624	0.03959162997025523	-0.012982436013088239	1	0.04456052665279708	-0.01242516573680097	1	0.1700307645388942	0.539315072109125	0.3692843075702308	0.8212074113156744
2	0.02	0	0.0046105867640307	0.45278252206091657	0.4325078479246599	0.0	0.7017997835840724	0.4559355644734834	0.6967759718349075	0.405530191228074	0.6953774537861261	0.4426696057204517	0.6896043846892714	0.39358223127464265	0.6959426725685195	0.4451345205051778	0.6907654101389313	0.3959375990409857	-0.0064223297979462135	-0.005857111015552863	0	-0.007171587145636038	-0.006010561695976135	0	0.12787620213351486	0.0782647289373434	-0.04961147319617146	0.8592036275199881
2	0.02	1	0.005561598772968468	0.3898702732542092	0.5047250859106529	0.0	0.7531255575084881	0.5503956969414985	0.7466823430047845	0.49516588602325173	0.7496056075269028	0.547559276152499	0.7438042819751245	0.49321621120538145	0.7340067835959903	0.5214164757300116	0.7282960884314514	0.46841355160426157	-0.0035199499815853352	-0.019118773912497833	1	-0.0028780610296600395	-0.018386254573333094	1	0.17582340931432675	0.1804903976463008	0.004666988331974042	0.8476855851546733
2	0.02	2	0.0067828325300386405	0.3465161989968822	0.3116953516736685	0.03769317753486619	0.7721865309466502	0.5817822391088513	0.7686269709812601	0.5507629561728377	0.7704972923525786	0.5799053967031061	0.767429280463475	0.5496550884805168	0.7669132763495305	0.5725210182397935	0.7632577610973785	0.5414188036690846	-0.0016892385940716625	-0.005273254597119692	1	-0.001197690517785066	-0.005369209883881565	1	0.1756198463746173	0.18567323016054355	0.01005338378592624	0.8212074113156744
